Team_name,Win_Rate
Boston Bruins,36
Buffalo Sabres,36
Calgary Flames,36
Chicago Blackhawks,36
Detroit Red Wings,36
Edmonton Oilers,36
Hartford Whalers,36
Los Angeles Kings,36
Minnesota North Stars,36
Montreal Canadiens,36
New Jersey Devils,36
New York Islanders,36
New York Rangers,36
Philadelphia Flyers,36
Pittsburgh Penguins,36
Quebec Nordiques,36
St. Louis Blues,36
Toronto Maple Leafs,36
Vancouver Canucks,36
Washington Capitals,36
Winnipeg Jets,36
Boston Bruins,36
Buffalo Sabres,36
Calgary Flames,36
Chicago Blackhawks,36
